direction,point_id,u_R,v_R,u_R_gt,v_R_gt,error_R
center,0,332.8055072510722,322.217729131142,333,323,0.8060863115382608
center,1,371.83887181068303,320.83443803111345,372,322,1.1766465045659447
center,2,412.6574158508041,320.9538984256061,413,323,2.0745832236903565
center,3,452.79263696787405,321.16891356771606,453,323,1.8427905332909638
center,4,491.0166491089606,322.1495582312407,491,323,0.8506047230527509
center,5,330.7414282672009,361.5827461197569,331,363,1.440648431112478
center,6,370.8981994087348,359.28948624717117,371,360,0.7177695684137452
center,7,411.9103923563101,358.98734742192613,412,360,1.016609449930161
center,8,453.95906897259715,359.94166049260673,454,361,1.059130710495019
center,9,493.060682922177,360.96733647139945,493,361,0.06891533316020183
center,10,331.905432760442,401.4956833932356,332,402,0.5131064242980999
center,11,369.90544036038045,401.53759375790094,370,402,0.47197569659587
center,12,410.6533436055857,401.6800579444548,411,402,0.47173464436568197
center,13,454.44076030175296,402.64955218975456,454,402,0.7849762358290231
center,14,494.05926992953334,401.56517853055124,494,402,0.4388423804060744
center,15,332.914341360752,442.9475671678668,333,443,0.10043208831506387
center,16,370.93906850844826,443.7119959123776,371,444,0.2943790093568932
center,17,410.9602504700945,443.5354264064719,411,443,0.5368998620554267
center,18,453.01185388514915,443.64067301776123,453,443,0.640782670084336
center,19,493.0301977934213,442.66423218243386,493,442,0.66491826483288
center,20,333.7868463699362,481.1708022108634,334,482,0.8561562027564562
center,21,370.91434418471465,481.6480892996769,371,481,0.6537252167752676
center,22,411.90573419141975,483.038432574502,412,482,1.042702380573734
center,23,453.01369824541524,483.841102380881,453,484,0.1594869752962271
center,24,493.0588233107829,481.9044577450348,493,482,0.11219850433627421
east,0,530.1001419250839,352.2920686886581,530,353,0.7149791232880613
east,1,550.2729194400358,343.40077165062286,550,344,0.6584524549629387
east,2,579.2418478051737,330.06049739908406,579,331,0.9701316910580621
east,3,622.2663962580551,310.1749091477471,622,311,0.8670304958749783
east,4,686.3514467136492,280.05039253767484,686,281,1.0125557392254922
east,5,531.0816045769707,401.5742476084833,531,402,0.43350248657275403
east,6,553.2095472427741,401.59141957305565,553,402,0.45918189449960845
east,7,582.0635565844186,401.6217158697263,582,402,0.38358613457721535
east,8,628.4889424086487,402.2473268254411,628,402,0.5479372569536866
east,9,701.3954442178062,402.92495485118116,701,403,0.4025020543520671
east,10,530.1239251273611,450.84179732631355,530,451,0.2009614966927724
east,11,551.319135902795,460.27275475858494,551,460,0.41981291402658943
east,12,579.3077388877894,474.1662071155856,579,474,0.349754239901565
east,13,622.3090362229681,494.1460545822453,622,494,0.3418118314237039
east,14,686.2817613871903,525.0488774352866,686,524,1.0860632364484168
north,0,283.9200082043118,680.0017381612719,284,680,0.08001067792508852
north,1,313.8408977201849,620.2663409229065,314,620,0.3102434893064328
north,2,335.7965933684548,576.9145162570564,336,577,0.2206393620009832
north,3,350.86815010546076,546.3000666333763,351,546,0.3277565852211297
north,4,361.81397264810107,524.8701706939153,362,525,0.2268519878091669
north,5,393.9959010883938,698.8638536683371,394,699,0.13620801996069137
