direction,point_id,x_rect,y_rect
east,0,25,328
east,1,82,323
east,2,147,316
east,3,222,308
east,4,309,299
east,5,26,408
east,6,84,407
east,7,148,406
east,8,223,405
east,9,311,405
east,10,27,488
east,11,85,492
east,12,149,497
east,13,224,504
east,14,312,511
