direction,point_id,x_rect,y_rect
north,0,370,308
north,1,372,236
north,2,373,171
north,3,374,112
north,4,374,59
north,5,451,307
north,6,449,235
north,7,446,171
north,8,445,111
north,9,444,58
north,10,530,307
north,11,524,235
north,12,518,169
north,13,515,112
north,14,509,54
