direction,point_id,x_rect,y_rect
east,0,48,331
east,1,108,327
east,2,174,322
east,3,247,318
east,4,329,312
east,5,49,407
east,6,109,406
east,7,174,405
east,8,247,405
east,9,330,404
east,10,49,482
east,11,109,485
east,12,175,489
east,13,248,492
east,14,331,497
