direction,point_id,x_rect,y_rect
south,0,376,711
south,1,374,650
south,2,374,586
south,3,374,517
south,4,373,444
south,5,442,712
south,6,445,651
south,7,446,587
south,8,448,518
south,9,450,445
south,10,511,713
south,11,515,653
south,12,519,588
south,13,523,519
south,14,527,446
