direction,point_id,u_R,v_R,u_R_gt,v_R_gt,error_R
center,0,323.7660157015072,314.50013356813315,324,315,0.5519194702567359
center,1,365.75154155093594,312.4436390010904,366,314,1.5760682598917597
center,2,409.82580970360306,311.46799520784043,410,313,1.5418757870070916
center,3,456.8970996402167,311.5746462499467,457,313,1.429063258513978
center,4,500.0749821905159,313.4751016597671,500,314,0.5302269292235157
center,5,322.81647177266854,357.1347082664555,323,358,0.8845407816307103
center,6,363.84930539482014,355.86801781355746,364,357,1.1419687099275329
center,7,409.9121952825616,354.97990090557585,410,356,1.0238710030318365
center,8,456.96419320420614,354.8659349173713,457,356,1.134630220936606
center,9,501.05809056062697,356.96750681968837,501,357,0.0665606490407013
center,10,321.8822940088889,402.48366085305156,322,403,0.5295855124669581
center,11,363.90784148691887,401.5280916351862,364,402,0.48082293655210123
center,12,408.6249977110022,401.6699946885522,409,402,0.4995300014386895
center,13,458.29818256662395,402.1123499587612,458,402,0.3186461301696342
center,14,501.0692154087183,402.08957406856575,501,402,0.11320020566883462
center,15,323.8607105276769,447.35371581170324,324,447,0.3801531698525434
center,16,364.9407884683002,448.6351446288388,365,449,0.3696287967020476
center,17,409.9760121169666,449.03988016337115,410,449,0.046538650205319554
center,18,457.01138410571764,448.71545379546774,457,448,0.7155443601288338
center,19,499.9916974671941,448.1764739531738,500,449,0.8235678975361933
center,20,325.7373136671445,488.5759841093851,326,488,0.6330575042863099
center,21,365.904840418635,490.57063538573016,366,490,0.5785154184401384
center,22,409.96814400043365,492.5428168718563,410,492,0.5437508262800462
center,23,456.02325672548136,492.2545674417467,456,492,0.2556275761289761
center,24,499.0890137033956,490.6855928508177,499,490,0.6913472329333354
east,0,544.1850836207753,345.9891108954856,544,347,1.0276929153717025
east,1,570.0860726019807,334.53144705910154,570,335,0.4763930637995595
east,2,608.4053368954474,317.0133502952457,608,318,1.0666656639747434
east,3,665.47845618873,290.0375720035842,665,291,1.0747967123223425
east,4,744.2736541268081,254.70997695579604,744,255,0.3987479746511925
east,5,545.1607829130658,402.1005272988808,545,402,0.1896230021758574
east,6,572.4304487483915,402.1416386496824,572,402,0.45315298970182627
east,7,612.1350490412672,402.20964829140206,612,402,0.24938053178823782
east,8,675.3448319361253,402.86604362237915,675,403,0.3699369882523299
east,9,769.3973193606403,402.4574621576187,769,403,0.6724656011688294
east,10,544.2425446823792,457.18194328338075,544,457,0.3032017172078271
east,11,570.1196199604728,469.71008321554945,570,470,0.313625057751568
east,12,607.4580704040592,487.4408524929169,607,487,0.6357510641642735
east,13,664.4303730446582,514.4648399009288,664,514,0.633480142596325
east,14,743.4817378150581,550.7565426706014,743,550,0.8968991776658578
north,0,262.9488834939201,726.0483952044494,263,726,0.07039171121316985
north,1,294.89353953678216,660.4162112601612,295,660,0.42961103723426447
north,2,321.96496695384246,605.7351980874657,322,606,0.2671092795184805
north,3,340.8867403068151,567.2003538171605,341,567,0.23015084216901766
north,4,354.92327487275185,539.3426311266788,355,539,0.35111655346972154
north,5,387.96289611688815,755.3319937259948,388,755,0.3340606714983245
north,6,395.96795448373734,676.2223669831187,396,676,0.22466417225240962
north,7,401.9600103831827,613.3781222504078,402,613,0.3802309899346521
north,8,405.9471654057787,571.4377723521194,406,571,0.44094912022440363
north,9,408.94667038213174,541.4088245322255,409,541,0.41228818354563285
north,10,526.077576337936,745.2304570067508,526,745,0.24316356669557143
north,11,503.1015396602696,670.7043525073252,503,670,0.7116338645560526
north,12,485.1221423192686,610.9527482758687,485,610,0.9605456903901117
north,13,472.01008961467613,569.7353488224102,472,570,0.2648434370038165
north,14,462.1102541300376,540.4831509247713,462,540,0.495571174805088
south,0,353.6568083057984,265.58509409741384,354,267,1.4559324339206523
south,1,339.9244880810919,237.42051933896613,340,238,0.5843799161585148
south,2,319.73470602291775,198.1966944913256,320,199,0.845979098171329
south,3,292.7716515822865,143.10164429761156,293,144,0.9269228489394865
south,4,260.371191219505,75.35525144749772,261,77,1.760851579033827
south,5,406.9163323966676,262.9923258373022,407,264,1.0111416745521478
south,6,403.9048841713596,233.80998692600446,404,235,1.1938082497362288
south,7,399.9451573551747,191.17070479612764,400,192,0.8311066422891473
south,8,392.8332974126037,128.30675328569833,393,130,1.7014329807953066
south,9,384.7798577802337,45.424182760973736,385,47,1.591119909917534
south,10,463.05091760013937,263.7509190360157,463,265,1.2501183370352826
south,11,471.07227898164354,235.10061270876312,471,236,0.9022869559213599
south,12,483.04485860423426,193.70215954438058,483,195,1.2986154714218814
south,13,501.14794734292957,133.4108771263364,501,135,1.595994963613849
south,14,525.1422100784245,55.44821652293234,525,57,1.558286131012428
west,0,277.85432781520217,456.73501439570293,278,457,0.30238676543204607
west,1,248.74977514085884,467.92908316940674,249,468,0.26008013571513816
west,2,207.87722021939393,483.4866374771752,208,484,0.5278408418896158
west,3,149.70508792271033,504.7900049399459,150,505,0.36203737179803724
west,4,83.74663620309025,530.2233190577156,84,530,0.337734533507453
west,5,275.9706192073692,402.4287652250076,276,403,0.5719898592949035
west,6,245.93034152854813,402.3910200889137,246,403,0.6129509236078221
west,7,201.52857922823975,402.32251843876054,202,403,0.8253598063066114
west,8,139.7858026962778,402.20833135817725,140,403,0.8201339667196677
west,9,62.633950382922706,403.9163021550726,63,405,1.1438502267616975
west,10,277.7570498148772,347.70662573485413,278,349,1.3159945980864955
west,11,247.74678592051285,337.33234484344393,248,338,0.7140593659678653
west,12,206.71195915840426,321.7759884302637,207,323,1.257446559212579
west,13,148.76879805901092,300.9417048694557,149,302,1.0832557042780409
west,14,81.01522153975651,275.3487618264984,82,277,1.9225961930131021
