direction,point_id,x_rect,y_rect
south,0,320,729
south,1,315,666
south,2,310,598
south,3,304,520
south,4,297,433
south,5,396,728
south,6,396,667
south,7,396,599
south,8,395,522
south,9,395,433
south,10,475,728
south,11,478,668
south,12,482,600
south,13,488,523
south,14,494,435
