direction,point_id,u_L,v_L,u_L_gt,v_L_gt,error_L
south,5,442.07450351191034,263.2601512198661,442,263,0.27060936880453257
south,6,447.04042238802805,233.92412838600637,447,233,0.9250120233146346
south,7,452.06329636261836,191.2619648592894,452,191,0.2695032783163008
south,8,462.06396205503194,128.90234586857235,462,128,0.904609977290492
south,9,475.0417541472529,46.31102698675869,475,45,1.3116917201928162
south,10,496.11617055392315,265.7305433116306,496,265,0.7397223315319016
south,11,511.1618046057421,238.28015671973517,511,238,0.3235251428438322
south,12,533.0731626254824,199.87062853286827,533,199,0.8736972084262523
south,13,561.9254269716985,146.06011908833844,562,145,1.0627387345954715
south,14,597.9427118269687,78.94126260399537,598,78,0.9430043607796371
west,0,306.5895433627803,458.54281803207766,307,458,0.6805336633748214
west,1,281.8929888478018,471.23347598036514,282,471,0.2568315013822292
west,2,244.6131005686782,489.80041128523874,245,489,0.8890159703259929
west,3,185.59541997316927,517.5654975213082,186,517,0.6953218281602227
west,4,108.85539562983735,554.9237413043454,109,555,0.16348031237148017
west,5,305.79167138481796,402.59899122694924,306,402,0.6341855421450572
west,6,278.81608321114993,402.6464818380601,279,402,0.6721340284217611
west,7,238.9635862986551,402.74591183058595,239,402,0.7468001182737751
west,8,175.54232759138966,402.91295022979347,176,402,1.0212453944489193
west,9,78.64646612013291,405.3204243880774,79,404,1.366933344696619
west,10,307.8119588596931,346.1595029195054,308,345,1.1746516465699641
west,11,281.67248378377633,334.4679200641868,282,334,0.5711532704607718
west,12,243.87934885676015,316.15008601142387,244,315,1.1563972206979491
west,13,185.82976801505203,289.01866017040027,186,288,1.0327862661069949
west,14,107.90774911970595,249.9819283998522,107,248,2.179919412837918
