direction,point_id,u_L,v_L,u_L_gt,v_L_gt,error_L
center,0,350.9415990573996,313.25128828219874,351,313,0.2579854082443562
center,1,394.0477054480998,312.14248464208686,394,311,1.1434801997335744
center,2,439.19363263901846,312.13255077083704,439,311,1.1489842676977053
center,3,484.3742598650763,312.9519328285185,484,312,1.0228619440658608
center,4,525.254065720871,315.21370263930635,525,315,0.33199127784961496
center,5,347.74519771596664,356.66584129844296,348,356,0.7129297571716436
center,6,392.93321653061355,355.90236074949746,393,355,0.9048286876624276
center,7,439.136277569862,355.6947774370443,439,355,0.7080164285335102
center,8,485.2868614811645,355.8965823439903,485,355,0.9413550918389137
center,9,527.0376406242008,357.98638520619494,527,358,0.04002723073831593
center,10,347.71584320762634,402.54724141058097,348,402,0.6166183942332045
center,11,392.7114363249184,401.5120856241711,393,401,0.58779305972367
center,12,439.4108753950159,401.5531487329602,439,401,0.6890516025705006
center,13,485.25241998235987,401.95944704664436,485,402,0.25565678070495407
center,14,529.4862790147185,401.94141940932974,529,402,0.4897948200613378
center,15,347.67158872772217,447.9238142813077,348,448,0.3371323590102308
center,16,392.8672033433714,448.62160151402844,393,448,0.6356283460121869
center,17,439.058879632192,448.2826831555232,439,448,0.2887500259803018
center,18,485.2409516246693,447.55480904961917,485,448,0.5062140532736874
center,19,527.1556297181613,446.8843242631599,527,446,0.8979142562562792
center,20,349.88281559440895,489.801082064345,350,490,0.23086907553627722
center,21,392.8671848934826,490.9608785185104,393,491,0.13845700716528583
center,22,439.0658488015832,491.94748214936067,439,492,0.08422701054718304
center,23,483.0313354817688,490.8804746494267,483,491,0.12356464642995121
center,24,525.3267500696765,488.7558247238017,525,489,0.40790583906102246
east,0,574.3512868559158,347.7756236889868,574,347,0.8514661250200553
east,1,603.022839741513,337.40280728893896,603,337,0.40345429210102246
east,2,645.2779688245148,322.65475485779973,645,322,0.711316097958204
east,3,703.2565923610952,302.57157694123987,703,302,0.6265299989062874
east,4,770.1235598836245,278.09693980275006,770,278,0.15704894204836808
east,5,575.2038386046742,401.91655625072934,575,402,0.22025675028895944
east,6,606.3672768465362,401.8896815759316,606,402,0.3834872053804937
east,7,650.2288163980419,401.8147533153486,650,402,0.2944032577727435
east,8,712.0886342343683,402.1259026819195,712,402,0.15397244174392294
east,9,788.1303075987697,401.4494922030101,788,401,0.46799926374300904
east,10,574.3807717607057,455.09469377894425,574,455,0.3923697816112221
east,11,603.1018789751552,466.3755704703026,603,466,0.38914329461263386
east,12,645.325764020774,480.9291533441222,645,481,0.33337883238133176
east,13,702.2255633637808,500.86238215063634,702,501,0.26423002014076047
east,14,769.9624289680762,525.5496073619058,770,526,0.4519569790248252
north,0,334.9341278815201,748.310761949592,335,748,0.3176666890110655
north,1,355.003761141767,671.7813863715979,355,672,0.21864598032094848
north,2,370.9362562767623,611.601640043203,371,611,0.605007441142283
north,3,380.90502496330885,570.3812324631199,381,570,0.3928847776778088
north,4,386.9472973735974,541.0013576301952,387,541,0.052720109915284606
north,5,476.0312671630621,754.2360681061987,476,754,0.23812976766918753
north,6,463.0302088328016,675.2930223166063,463,675,0.2945753750885554
north,7,454.0166261729705,613.0991209113042,454,613,0.10050564504258368
north,8,448.0337470657757,571.2796185449989,448,571,0.28164764361837724
north,9,443.01566599834393,541.1583734434085,443,541,0.15914638255767338
north,10,597.1166393377069,722.2632582795071,597,722,0.2879403702674556
north,11,562.0772367275574,657.8395522371898,562,658,0.17807020153464417
north,12,532.1259396425944,604.7842018837814,532,605,0.2498592014321257
north,13,511.06461566472035,566.4423417818266,511,566,0.44703628049273925
north,14,497.1757196333851,538.321911416547,497,538,0.3667483464997128
south,0,388.07720652722577,263.97743344972355,388,263,0.9804779428853768
south,1,379.99196758201344,234.39642850386235,380,234,0.39650987177276475
south,2,369.0126511725337,192.35345909062676,369,192,0.3536854264924857
south,3,355.0067555756656,131.46967988585146,355,131,0.46972846728297857
south,4,335.33929000101233,52.45047382920336,335,51,1.4896281529263626
