direction,point_id,u_L,v_L,u_L_gt,v_L_gt,error_L
center,0,319.08565101626084,275.9223487415263,319,275,0.9263170610442746
center,1,379.9900981150882,271.01385440515423,380,270,1.013902757751182
center,2,446.06943737331363,270.3869444743958,446,270,0.39312539358091964
center,3,511.1262914263919,273.6011726694702,511,273,0.6142948012949725
center,4,567.3260327683822,279.9182179853875,567,280,0.33613340204902425
center,5,312.87200047553705,336.3918108352246,313,335,1.3976842559431335
center,6,377.8365121012951,333.3441073779798,378,333,0.38097005210787793
center,7,448.16648666207044,333.20715105709684,448,332,1.2185776476274985
center,8,515.0502387974975,335.89250885727324,515,335,0.8939216951641707
center,9,573.357128106631,339.0766905828343,573,339,0.36526966756259177
center,10,310.90926074491176,403.1305996321261,311,402,1.1342350464421769
center,11,376.7428825798719,403.06094538118634,377,403,0.2642417590413828
center,12,448.36166356383364,403.5312992880409,448,403,0.6427125849690538
center,13,516.3741293608889,403.38485899574613,516,403,0.536739438914131
center,14,575.212723917661,402.38108251844886,575,402,0.4364348187443209
center,15,313.62042943322786,469.4207889308871,314,469,0.5666896324416453
center,16,376.79234513983,472.2917707058041,377,472,0.35812104897316377
center,17,447.0946876473755,472.8265987243115,447,472,0.8320043278727118
center,18,514.1164611630006,470.5224111801813,514,470,0.5352351293271536
center,19,573.4424153366965,466.25264653664055,573,466,0.5094718859964267
center,20,317.8717130609209,529.2607011755937,318,529,0.29055574627635444
center,21,379.96395628704295,534.8387980649909,380,535,0.1651823631457352
center,22,447.00526631882065,535.0572711913451,447,535,0.05751281137281921
center,23,510.22174604217685,531.495541314349,510,531,0.5428927163333728
center,24,567.0913385098069,524.3701515387352,567,524,0.38125435735444835
east,0,650.3861514416153,482.1121165487276,650,482,0.4020983167835628
east,1,655.330900073596,401.76888158133596,655,401,0.8370625692405166
east,2,649.3301761403376,321.29397032146494,649,321,0.4420801211889363
east,3,709.3228817170029,502.47131735413154,709,503,0.619481995878195
east,4,719.3535940779536,401.6741908845591,719,402,0.48081217920125796
east,5,709.0364935096442,300.4569447107933,709,300,0.45839965637873564
east,6,776.2833132730261,527.3921952858562,776,527,0.4838218193928813
east,7,795.081004225711,401.453712952041,795,401,0.46088732617937694
east,8,777.0215139005554,276.24995555072866,777,276,0.2508797027604562
north,0,367.9235763778485,617.2814914377512,368,617,0.29168133219322384
north,1,454.04999357385236,618.7053383342828,454,618,0.7071078582758124
north,2,535.1808198972651,609.3084543099933,535,609,0.35754705508562673
north,3,353.9610455682319,679.8875504141994,354,680,0.11900570196888278
north,4,464.01227438087705,682.6808674442988,464,683,0.3193685152520733
north,5,565.0601687095732,663.7682431588794,565,664,0.23943998625523769
north,6,334.8856655022253,756.8630029726935,335,756,0.8705438003105844
north,7,477.0400981317184,763.3516632422487,477,763,0.35394193890550657
north,8,601.1608950400539,728.4733306360372,601,728,0.4999290998984929
south,0,534.1006790239985,195.41323911686789,534,195,0.4253267374419835
south,1,453.0227194331816,186.90279781592415,453,186,0.9030836445653857
south,2,367.1311045488999,188.29173716999125,367,187,1.2983733357856853
south,3,565.0407746045094,139.91645571705288,565,139,0.9173623328280976
south,4,462.0830208833381,121.49202253840377,462,120,1.4943305264147828
south,5,352.15122003531394,125.18575883130359,352,124,1.1953624994514422
south,6,601.8497312554231,73.89090245586601,602,73,0.9034865142683732
south,7,475.0737090232662,38.565340878864106,475,37,1.567075329125536
south,8,333.2485989670464,46.09824492640189,333,45,1.1260299129170732
west,0,239.7500270993546,313.8505816363704,240,313,0.8865526330611335
west,1,233.83412442709104,403.2490813368306,234,403,0.2992594493833085
west,2,239.85573169779613,492.49819513847024,240,492,0.5186634159222777
west,3,179.87414692830754,284.8919828843341,180,284,0.9008176627927426
west,4,167.5551725867012,404.0000116428776,168,403,1.094483765760318
west,5,179.69146639068654,521.4990476128794,180,521,0.5867209796799591
west,6,99.34541513484953,246.06395912590756,99,245,1.1186244396512603
west,7,69.71120782977295,405.37410732891016,70,404,1.4041267282368273
west,8,100.7091035710315,560.1643699694832,101,560,0.3341230600460571
