direction,point_id,u_R,v_R,u_R_gt,v_R_gt,error_R
center,0,283.78580608699144,280.01376601754316,284,281,1.0092256935505517
center,1,340.5397783423359,273.1873351103866,341,275,1.8701759211957276
center,2,404.9237416244028,270.04441394763546,405,271,0.95862403648269
center,3,471.07921583459654,270.92505070280663,471,272,1.077864156555615
center,4,532.113100522687,275.67132864420313,532,276,0.34758680693234156
center,5,278.6801021917275,338.44518421168846,279,340,1.5873836156771952
center,6,335.8729331713958,334.3546107349152,336,335,0.6577790528880104
center,7,402.87246906209793,332.47578205218116,403,334,1.5295438838344122
center,8,473.0071685104368,334.00788319187666,473,335,0.9921427057146218
center,9,537.1921297682986,336.66716911384356,537,337,0.3843048876168088
center,10,275.9280322699456,402.9159074617117,276,404,1.0864787092905024
center,11,333.9290737572842,402.97491396697103,334,403,0.0752319144971938
center,12,402.55883571242464,403.6857434211339,403,404,0.5416485262534158
center,13,473.0602960724847,403.6359054639645,473,404,0.3690534480640843
center,14,539.1183591757461,402.6162466786213,539,403,0.40159121772332984
center,15,278.8089264632562,466.9178860855109,279,467,0.20797065032475495
center,16,336.8825635452559,471.11597613642533,337,471,0.1650508561717029
center,17,403.96988051307306,473.52686783991777,404,474,0.47408989062921236
center,18,473.01966466262525,472.6037327538483,473,473,0.3967548731002713
center,19,537.2245590717603,469.10165131679423,537,469,0.24649496326666512
center,20,284.8087962919466,525.0705655102258,285,525,0.2038095905663185
center,21,340.8956163207572,532.4329507338974,341,532,0.44535636346030305
center,22,404.94326785466967,535.3345331503353,405,535,0.33930954155029747
center,23,471.121468491585,534.2397572941225,471,534,0.26877156570749466
center,24,532.1660680958071,528.9132845313356,532,529,0.18734509588101492
east,0,612.0955783049584,489.08548226809955,612,489,0.12822804115389047
east,1,617.2115799096755,402.1784109145418,617,403,0.8483953580273219
east,2,612.4928892134539,315.34446568030194,612,316,0.820161582275808
east,3,672.4676734603097,516.9686184494267,672,516,1.0756115311987886
east,4,683.4114807084406,402.3907870279198,683,402,0.5674776423871084
east,5,672.463764927389,287.2590312624673,672,288,0.8741353315573525
east,6,752.0827806943782,552.6983491630112,752,553,0.3128032461752295
east,7,779.1641536800328,402.4488261061647,779,403,0.5750992018025066
east,8,752.3797008393447,251.5199961327717,752,252,0.6120265026558576
north,0,319.8954826034452,611.2124185208074,320,611,0.23673933801675276
north,1,400.9474601740706,618.9719580769347,401,619,0.05955487182330744
north,2,486.0078519512218,616.0774059649267,486,616,0.0778031910928016
north,3,291.84102917979556,667.5862165382384,292,667,0.6073891268212865
north,4,394.951189470895,683.6723989693087,395,683,0.6741682591748874
north,5,504.06249643099386,677.6128151295463,504,677,0.6159936581555532
north,6,259.986788355215,732.6909696513522,260,733,0.3093126313994883
north,7,387.9693786821738,764.2003481931549,388,764,0.20267477298829417
north,8,527.9509236257143,752.6737268256776,528,753,0.32994344181306995
south,0,484.08861030952295,189.01687878351694,484,190,0.987106434612234
south,1,397.9084302128872,186.84826700007227,398,188,1.1553674432986307
south,2,316.7390790799778,194.56455997051083,317,196,1.4589612074229779
south,3,503.1289873853651,126.3824894678828,503,128,1.6226453916655292
south,4,391.7631747461236,120.91048660662472,392,123,2.102891443220103
south,5,288.711795934777,137.72926582048655,289,139,1.3030068834026909
south,6,525.1527654749356,48.685602519978715,525,50,1.3232452629118274
south,7,383.68436126493555,38.01694005806161,384,40,2.008022545788217
south,8,256.5046771742403,70.68525002174687,257,72,1.4049598595814612
west,0,201.67314855782152,319.99379833893147,202,321,1.0579572997012792
west,1,196.9199875114001,402.7766146765087,197,403,0.23728253429879836
west,2,202.7942788523323,485.6879077638689,203,486,0.37379507012669744
west,3,142.57125464933017,298.0102016768382,143,299,1.07866737053406
west,4,132.93465666920196,403.13424254331215,133,404,0.8682198596498405
west,5,143.96807217532063,507.7069380830156,144,508,0.2947959856838895
west,6,74.44129067701948,273.0567279629521,75,274,1.0963203197340883
west,7,55.70449005698475,403.88173755738995,56,405,1.156649046588057
west,8,76.79180550110561,533.0651217796946,77,533,0.2181416868928771
