direction,point_id,x_rect,y_rect
center,0,331,326
center,1,370,326
center,2,410,326
center,3,450,326
center,4,489,326
center,5,331,365
center,6,370,365
center,7,410,365
center,8,450,365
center,9,489,365
center,10,331,405
center,11,370,404
center,12,410,404
center,13,450,404
center,14,489,404
center,15,331,444
center,16,370,445
center,17,410,444
center,18,450,444
center,19,489,444
center,20,331,484
center,21,370,484
center,22,410,484
center,23,450,484
center,24,489,484
