direction,point_id,x_rect,y_rect
south,0,525,468
south,1,521,540
south,2,517,608
south,3,513,671
south,4,450,466
south,5,447,539
south,6,446,607
south,7,443,671
south,8,373,466
south,9,373,538
south,10,373,606
south,11,374,670
