direction,point_id,x_rect,y_rect
east,0,111,320
east,1,186,315
east,2,268,309
east,3,360,303
east,4,113,406
east,5,186,405
east,6,269,404
east,7,361,403
east,8,113,493
east,9,187,496
east,10,270,500
east,11,361,505
