direction,point_id,x_rect,y_rect
center,0,342,310
center,1,389,310
center,2,437,310
center,3,484,311
center,4,530,311
center,5,342,357
center,6,389,357
center,7,437,357
center,8,484,357
center,9,531,358
center,10,342,405
center,11,389,404
center,12,437,404
center,13,484,405
center,14,531,405
center,15,341,452
center,16,388,452
center,17,437,452
center,18,484,452
center,19,531,452
center,20,342,499
center,21,388,500
center,22,436,499
center,23,484,499
center,24,531,499
