direction,point_id,u_L,v_L,u_L_gt,v_L_gt,error_L
center,0,340.9224159947787,303.90686876648755,341,303,0.9101814310876847
center,1,389.9646517050877,301.8793257333209,390,301,0.8800359351944471
center,2,441.1932358352318,301.0454064817322,441,300,1.063115609924622
center,3,491.08675493878127,303.70955506328687,491,303,0.7148390079164516
center,4,536.0985209173659,305.98281668941297,536,305,0.9877423834924249
center,5,338.6420935919216,351.4661007679147,339,351,0.5876622523135911
center,6,388.9152711432852,350.81735932764695,389,350,0.8217391615662933
center,7,441.1268839719769,350.7044476680224,441,350,0.7157835282589465
center,8,492.31569493673965,350.9593299294967,492,350,1.0099392094136883
center,9,540.2125849181967,353.098702500788,540,353,0.23438116627946873
center,10,337.6526788083912,402.5658238428648,338,402,0.6639191451485928
center,11,387.7290727055869,401.51891566721696,388,401,0.5853845475764105
center,12,441.4047722820275,401.54268794485347,441,401,0.6770161045256237
center,13,493.260395302048,401.9331181646586,493,402,0.26884734186391857
center,14,541.1273595013644,401.92702222900886,541,402,0.14678623112068848
center,15,337.9865657879007,453.0459982697556,338,453,0.047919921486154295
center,16,387.8610008080165,454.7486576507869,388,454,0.761451937717581
center,17,441.0606077294404,454.27822420887844,441,454,0.2847490250623421
center,18,492.26954710139876,453.47884700688763,492,453,0.5494998597613263
center,19,539.2532789436981,451.81325572007285,539,452,0.3146802335805868
center,20,341.7354629825378,500.1276111848329,342,500,0.29370810016453125
center,21,388.9658068655899,503.0252435148581,389,503,0.042501829174500586
center,22,440.0057417435504,502.8164560082921,440,503,0.1836337782410024
center,23,490.12904903402807,501.3569084416647,490,501,0.37952244849956235
center,24,536.1811828379332,498.4565860504263,536,498,0.4912209708526657
east,0,593.2580803164583,341.1108510656594,593,341,0.2808797046798445
east,1,631.0755785954791,327.71209039692104,631,327,0.7160899786212347
east,2,683.2860692846937,309.6601224581256,683,309,0.7194423502734243
east,3,750.1719350363674,285.56881356457194,750,285,0.594231039219327
east,4,596.1529273177944,401.39638697303667,596,401,0.42486397460946507
east,5,635.4825791534782,401.34461474626124,635,401,0.5929940663383375
east,6,691.4473212351704,401.23262026100053,691,401,0.5041909095395782
east,7,765.3450079433555,401.0600821195102,765,401,0.3502004312722297
east,8,593.3316108059557,462.230418550335,593,462,0.4038049466823003
east,9,631.1882781823558,475.477442183047,631,475,0.5132248163367572
east,10,683.2720363151745,493.82250552460596,683,494,0.32482002027145895
east,11,748.9829672342762,517.6824611417011,749,518,0.31799534845337213
north,0,341.02347926727145,724.6755084339045,341,725,0.3253399029610672
north,1,359.88103706297676,652.5134803647732,360,652,0.5270808907490119
north,2,372.8697523895053,597.8116723884787,373,597,0.822056267087733
north,3,381.9572330109743,560.3517533710847,382,560,0.35434368827418844
north,4,472.04450248952844,730.479151496676,472,730,0.48121370340114894
north,5,460.0658502185667,654.6075358687566,460,654,0.6110941687752546
north,6,451.04306074373,599.1272871218342,451,599,0.1343735057048902
north,7,446.02649552996706,560.5558283513665,446,560,0.5564594947442318
north,8,587.1354362984735,703.1980722175108,587,703,0.23994914939177156
north,9,552.2006385649925,640.6157905509986,552,640,0.6476525584457581
north,10,524.0649601387779,592.1401664527651,524,592,0.15448771508053305
north,11,506.20274532609045,556.883515589666,506,556,0.9064797098856461
south,0,585.9662573055821,98.82080063504196,586,98,0.8214939147138401
south,1,551.1289264496604,163.54644661846723,551,163,0.5614498519514526
south,2,525.1163767532789,212.65655046356966,525,212,0.666784867792662
south,3,505.06001647131365,247.6987844336848,505,247,0.7013570143579788
south,4,472.054120283702,71.28661348858844,472,70,1.287751246990547
south,5,458.0825636705383,149.75109776456964,458,149,0.7556220031432808
south,6,451.0477915348469,205.83005660175095,451,205,0.8314312917573916
south,7,444.0528864467585,244.36912958723647,444,244,0.37289895202870976
south,8,341.22729503296466,77.28132001637181,341,76,1.3013239475109404
south,9,358.06556900703333,151.97638865220142,358,151,0.9785878063981004
south,10,372.0531728757322,206.96094864354095,372,206,0.9624186460355034
south,11,381.93596081705834,244.37322774781234,382,244,0.3786818832330164
west,0,132.27687796486407,262.4941337845979,132,261,1.5195713782853948
west,1,205.74077396769735,298.7581599944217,206,298,0.801251965966319
west,2,256.9763826198848,322.67621319794637,257,322,0.6766255018253142
west,3,289.86469289117235,338.7243785557074,290,338,0.7369072571687976
west,4,110.9523349088812,405.2421906030379,111,404,1.243104764365023
west,5,197.75487904158518,403.4106347782642,198,402,1.4317732927746052
west,6,252.8111386511016,403.24229358135176,253,402,1.2565675275827815
west,7,287.9924638119955,402.63427231655436,288,402,0.6343170860672698
west,8,132.7514768294223,544.1433373265093,133,544,0.2868960708772642
west,9,206.5253936806365,507.7920153864431,207,507,0.9233306724799983
west,10,256.8892426310646,483.23161771855825,257,483,0.25673714636497086
west,11,289.7187260170207,466.9240580688718,290,466,0.9659184065686282
