direction,point_id,u_R,v_R,u_R_gt,v_R_gt,error_R
center,0,237.44869723316646,239.40046787339426,238,241,1.6918740392718938
center,1,308.8314443521192,225.1324096408907,309,226,0.8838122185464053
center,2,396.8996071886836,216.67038744959746,397,218,1.3333972591662122
center,3,491.07748481215384,219.9918677387427,491,221,1.0111056088768613
center,4,572.2959836671283,232.12204207038874,572,233,0.9265076671965614
center,5,223.53419929118033,314.8873671137066,224,316,1.2062015751931698
center,6,298.81931939568324,305.86079010899124,299,307,1.153449026419661
center,7,393.95811419368226,299.43660435215355,394,300,0.564950508259977
center,8,497.09379443070173,302.0736347761174,497,303,0.9311014570119335
center,9,585.0472915177758,310.45294085777454,585,311,0.5490994379399744
center,10,218.84662863865884,403.28794293467126,219,404,0.7283872862455877
center,11,293.7123211000342,403.8700309898208,294,404,0.3156756137120556
center,12,391.96723411807193,404.60638451310257,392,405,0.3949769038108763
center,13,500.06704390002926,404.7269834748424,500,405,0.28112792024316824
center,14,589.1874418053206,403.7603416840116,589,404,0.3042540694949674
center,15,223.61839287530532,490.62016131660675,224,491,0.5384249465056915
center,16,298.78377189539395,502.43832731223665,299,502,0.4887590673063061
center,17,393.9525689708313,508.38388870003774,394,508,0.3868077514020003
center,18,498.1355265636532,506.091186004678,498,506,0.16334728924830652
center,19,584.1362992408307,497.1124965895931,584,497,0.17672850851262423
center,20,238.72658717814642,566.1435500406817,239,566,0.30880606427603974
center,21,309.8273080497606,582.0283730715789,310,582,0.1750072594731973
center,22,398.9516679780889,589.8829434345193,399,590,0.126642109363916
center,23,491.129784332833,587.121184661467,491,587,0.177566030602135
center,24,572.08288961733,574.5355224506006,572,574,0.5418994221794561
