direction,point_id,u_L,v_L,u_L_gt,v_L_gt,error_L
center,0,302.0656222827097,255.84441387445594,302,255,0.8469599018617814
center,1,372.9076825371229,248.32518238552365,373,248,0.3380326874828971
center,2,450.0542102872067,247.4590488244297,450,247,0.46223865962217714
center,3,525.1252248430494,253.7802464061403,525,253,0.7902314316778295
center,4,588.1898702472379,262.96735076221523,588,263,0.19265690621957704
center,5,293.7843026446059,325.18883163833027,294,325,0.28667531592119083
center,6,368.8178586985781,320.771781719057,369,320,0.7929832757090428
center,7,453.12740960163336,319.6676507207782,453,319,0.6796989712689412
center,8,532.2734934180087,323.2507864865116,532,323,0.3710694160273676
center,9,597.4082429183484,329.6095437893023,597,329,0.7336251845858223
center,10,290.5368746655995,403.70224561451,291,403,0.8412098302219794
center,11,367.75922896294566,402.59046793352405,368,402,0.6376700344256345
center,12,453.34041053245954,403.51918082689974,453,403,0.6208285283632589
center,13,534.0444834990928,403.3524986334714,534,403,0.355294340358437
center,14,600.2334209235396,402.84934583268654,600,403,0.2778164964054352
center,15,293.66649745397524,481.1848754384139,294,481,0.3813172903681697
center,16,368.98089430677834,486.29121556629093,369,486,0.2918416241107961
center,17,452.10803892815676,487.4231798728207,452,487,0.4367534942708558
center,18,531.3504880613509,483.1875853333549,531,483,0.3975300472157899
center,19,596.0599360896132,476.439746152946,596,476,0.4438119127163158
center,20,301.80840865513665,550.555506154736,302,550,0.5876175043139328
center,21,371.9540677117,557.104165326984,372,557,0.11384283224760643
center,22,451.0346643318945,558.5698666314673,451,558,0.5709199537287318
center,23,524.2333563713553,552.2861880961896,524,552,0.3692679548142673
center,24,587.0686661192955,541.9390011616663,587,542,0.09184712416381285
