direction,point_id,u_R,v_R,u_R_gt,v_R_gt,error_R
center,0,263.71122020140206,262.01451841957663,264,263,1.0269214757867362
center,1,327.6860717684701,251.94778501431065,328,253,1.0980470439196763
center,2,401.96242368984747,247.26082971516016,402,248,0.7401247793952686
center,3,480.0138649510491,249.9117306031797,480,251,1.0883577155159971
center,4,550.1187599423747,256.73331475933594,550,257,0.29193311134726013
center,5,254.85336661738265,328.6505626309302,255,329,0.378956229398889
center,6,319.7048939477202,322.7812939253821,320,324,1.2539266638853812
center,7,399.93559528467654,318.97027227852163,400,320,1.031739864373246
center,8,482.0407157569079,320.477989624257,482,321,0.5235958415074646
center,9,557.4162939961863,325.957251683439,557,327,1.122775464174185
center,10,251.54501577491237,403.37023624691506,252,404,0.7769253695035476
center,11,317.87584810520383,402.45131614199516,318,403,0.5625545920322312
center,12,398.5216005700676,403.66553199651935,399,404,0.5837249865407168
center,13,484.0721132122452,403.643163631836,484,404,0.364050146305152
center,14,560.2865841273142,403.1806824822487,560,403,0.3387869853167218
center,15,254.7835499909305,477.12519493802716,255,477,0.2500487531138833
center,16,320.752028693268,483.9504838749143,321,484,0.2528667941938383
center,17,399.97938865867184,488.0346420679961,400,488,0.04031005167937181
center,18,483.0537934519724,486.191658369094,483,486,0.19906447678799954
center,19,557.0230198669981,480.5832579071855,557,481,0.417377390619114
center,20,263.74924437872414,543.9208643740095,264,544,0.26294643732583195
center,21,326.92155236906297,553.1511746232139,327,553,0.17031675637912977
center,22,402.9662769620724,558.7647862625208,403,559,0.23761890830905227
center,23,479.0918444070661,556.370474661692,479,556,0.381689494308053
center,24,550.2318032813511,548.4136330430545,550,548,0.4741572055253542
