direction,point_id,x_rect,y_rect
center,0,612,168
center,1,607,284
center,2,603,394
center,3,599,499
center,4,596,600
center,5,500,165
center,6,498,281
center,7,497,394
center,8,495,501
center,9,494,603
center,10,384,160
center,11,385,280
center,12,386,394
center,13,387,503
center,14,389,607
center,15,265,157
center,16,268,278
center,17,272,394
center,18,277,505
center,19,280,610
