direction,point_id,u_L,v_L,u_L_gt,v_L_gt,error_L
center,0,646.9493118910863,214.51393876066203,647,214,0.5164323131796389
center,1,670.3312220079338,299.97813187268895,670,299,1.0326906501511817
center,2,679.4832137253296,404.0499198079817,679,404,0.48578543779724515
center,3,669.3410096312516,506.7842243330239,669,507,0.4035426954677179
center,4,645.1119417970037,591.3666215769434,645,592,0.6431945216729175
center,5,570.1765801914696,189.6616995437228,570,189,0.6848553498238829
center,6,590.2401730912843,281.9096090784064,590,282,0.2566196260686255
center,7,600.2359330451723,405.12320208513756,600,405,0.2661637758721106
center,8,589.3643132763386,527.2776869556697,589,527,0.45807664060249703
center,9,568.2356399575735,617.2867914461083,568,617,0.37118125379137756
center,10,465.04035281823855,173.49599313274868,465,173,0.4976319299177282
center,11,473.171022322152,268.8827799239658,473,268,0.8991935435885586
center,12,476.25972884693675,406.43618923316507,476,406,0.5076614236479111
center,13,472.0749535182665,541.149674084688,472,541,0.16739283595095192
center,14,465.05866547223496,634.0500815851666,465,634,0.0771349648690538
center,15,349.9793278059306,175.6057092667586,350,175,0.6060619237708942
center,16,336.8784451653893,270.75688376362245,337,270,0.7665824218259448
center,17,329.5650507520066,405.36672420487895,330,405,0.5689178242717793
center,18,336.9463087483069,538.9269963550411,337,539,0.09062164578986619
center,19,348.89002397400196,631.033978040118,349,631,0.1151053148407122
