direction,point_id,x_rect,y_rect
center,0,726,149
center,1,726,278
center,2,727,408
center,3,729,539
center,4,731,674
center,5,597,148
center,6,597,278
center,7,599,408
center,8,599,540
center,9,600,674
center,10,467,147
center,11,468,276
center,12,468,408
center,13,468,541
center,14,468,675
center,15,336,145
center,16,335,275
center,17,334,407
center,18,334,542
center,19,332,677
center,20,202,142
center,21,203,275
center,22,201,408
center,23,199,542
center,24,197,679
