direction,point_id,u_R,v_R,u_R_gt,v_R_gt,error_R
center,0,601.3716311962048,198.05832469589078,601,199,1.0123547423516246
center,1,622.4691011311083,288.492511570503,622,290,1.5787898011687653
center,2,632.0700311131828,404.96151688657113,632,405,0.07990811493713405
center,3,622.1128273976256,519.4852476968763,622,519,0.49819208040543356
center,4,600.3795760100633,608.2699699134314,600,607,1.3254816213122278
center,5,506.07850289167914,177.75527041179058,506,179,1.2472026506410208
center,6,518.035150307506,272.86669761601735,518,273,0.13785887600450294
center,7,526.0805972959661,405.8845258340918,526,406,0.14081976817634506
center,8,518.1531637970256,537.2514280940268,518,537,0.294406581423116
center,9,506.1089196545149,629.4057926547741,506,629,0.420156125515608
center,10,391.9325078463892,173.08419366378465,392,174,0.9182899521671847
center,11,384.8330838593442,268.3798574971002,385,270,1.628718124082202
center,12,381.9321113049696,406.6177846622652,382,407,0.38819768071519845
center,13,385.861046780924,541.5768440166141,386,541,0.5933439277477269
center,14,392.9488771660019,634.6081678013038,393,634,0.6103127220521478
center,15,285.63029478261603,186.77695568494866,286,188,1.277700803920983
center,16,263.5002818143408,279.764522038479,264,281,1.3327130443132125
center,17,254.6206116766739,404.71273604600043,255,405,0.4758740160417095
center,18,265.8755257519273,529.2495814676435,266,529,0.2788991707128714
center,19,286.70654612613805,619.7555017531463,287,619,0.8104924892259668
